Headline,Complete Article,Processed Article,Processed Article Content,Gender
Title: New line-up of Louis Theroux interviews announced,"BBC Factual announces six names that meet multi award-winning journalist and broadcaster Louis Theroux for the second series of Louis Theroux Interviews, including cultural icons and industry trailblazers from across the worlds of sport, entertainment and global affairs.

Filmed across a number of locations, from New York City to Normandy, Glastonbury to the French Riviera, the upcoming series will bring viewers closer than ever to some of the world’s most well-known personalities and Louis’s most diverse range of guests yet:

Two-time world heavyweight champion, Anthony Joshua

Actor and producer, Ashley Walters

Whistleblower and activist, Chelsea Manning

Hollywood icon, Dame Joan Collins

Artist and musician, Pete Doherty

Singer-songwriter, Raye

Combining one-on-one conversations with Louis’ signature immersive filming style, each of the six documentaries explore their subject’s lives and careers up to today, including those at pivotal moments in their careers. From Mindhouse productions, co-founded by Theroux, the second series is expected to air on BBC Two and BBC iPlayer later this year.

Anthony Joshua

Louis comes face to face with two-time world heavyweight champion, Anthony Joshua, at his local boxing gym in North London. Against the backdrop of AJ’s fight with American boxer Jermaine Franklin, Louis explores his success, set-backs and his sporting motivations, as well as spending time together in the Watford estate in which AJ was raised.

Ashley Walters

In the Kent seaside town of Herne Bay, Louis meets Top Boy actor and ex-So Solid Crew rapper Ashley Walters. Ashley tells Louis about growing up in Peckham, including run-ins with the police, his transition from music to acting, and life by the sea with his partner and children.

Chelsea Manning

Louis travels to New York City to delve into the mind of one of America's most polarizing figures, famous whistleblower and activist Chelsea Manning. In 2010, Manning, a U.S. Army intelligence analyst, released the largest set of classified documents in U.S. history and was sentenced to 35 years in a military prison for her actions. Branded a traitor by some and a hero by others, Chelsea reveals what drove her to risk everything by making the documents public, whilst sharing details of her life now as a DJ and public speaker.

Joan Collins

Louis heads to the French Riviera to meet one of the icons of Hollywood’s Golden age, Dame Joan Collins. Welcomed into her holiday home near St Tropez, Louis and Dame Joan discuss the highs and lows of her multi-decade career, including her star turns in The Stud and as Alexis in Dynasty. Louis also hits the town with Dame Joan and her husband of over 20 years, Percy Gibson.

Pete Doherty

Louis meets notorious Libertines and Babyshambles frontman Pete Doherty in Normandy, where he now lives with his wife and their baby daughter. Discussing music, drugs and his hopes for a bright future after a turbulent career, Louis also joins Pete on tour with the rest of the Libertines, and hangs out backstage at Secret Garden Party in Cambridgeshire.

Raye

In South London Louis meets the newly independent singer and songwriter, Raye. In a pivotal year that has seen her winning an Ivor Novello and nominated for a Mercury Music Prize, Louis and Raye unpack her journey from her record label split, to her number one single ‘Escapism’, and a new artistic freedom. Louis also takes to the Pyramid Stage at Glastonbury to watch the 25-year-old musician as she marks this new chapter with one of her biggest performances yet.

Louis Theroux says: ""Working with the team on these six new programmes has been an enormous pleasure. The six guests are all distinctive and brilliant in different ways, all of them people who have endured setbacks and huge successes, and who have something to share with the world based on their journeys through life. We have tried to build on the success of the first six Louis Theroux Interviews, while pushing further this time into terrain that is gritty and difficult, exploring subjects like mental health, brushes with the law, and political controversy.

""Like the first six Louis Theroux Interviews, each show mixes stylish master interviews with behind-the-scenes moments and actuality shot on location, so viewers have the double pleasure of a thoughtful in-depth conversation alongside a revealing look into the lives of the contributors: in the locker room post-fight with Anthony Joshua, Raye's dressing room before her Glastonbury set, Joan Collins' house in the south of France. The tone of the shows is always open-minded and generous-hearted, while hopefully being funny, and always mindful of the need to keep viewers interested. I like them, and I'm notoriously hard to please.""

Clare Sillery, BBC Head of Commissioning, Documentaries, says: ""I am delighted that Louis is back with such an exciting and eclectic mix of new interviewees. Louis’s genuine curiosity and warmth mean that each of these meetings will bring us something very new and different and I can’t wait to see him take us deeper into the worlds of these hugely engaging cultural figures.""

The first series saw Louis up close and personal with some of the UK’s biggest stars: Stormzy; Dame Judi Dench; Yungblud; Bear Grylls; Katherine Ryan; and Rita Ora, with an average audience of more than 2.1m tuning in* (*Consolidated viewing figures for the first four episodes) in the first 7 days.

Louis Theroux Interviews, a 6x45’ series from Mindhouse Productions for BBC Two and iPlayer, was commissioned by Clare Sillery, Head of Commissioning, Documentaries. The Executive Producers are Arron Fellows and Emma Whitehead. The Series Producer is Alex Kohler and the Production Executive is Suzy Burnet. The Commissioning Editors are Max Gogarty and Fran Baker. Global sales will be handled by BBC Studios Distribution.

CH","[101, 100, 100, 12276, 9857, 9056, 8118, 10883, 8206, 8617, 8118, 9231, 8450, 8418, 13149, 11796, 118, 9769, 9535, 10321, 9527, 8256, 8575, 11355, 12251, 9421, 8196, 100, 100, 8330, 8174, 12462, 10976, 8205, 100, 100, 100, 117, 8910, 10079, 9755, 145, 9766, 10238, 8178, 9734, 8118, 8256, 8217, 11202, 11001, 162, 12783, 8204, 8461, 10631, 8118, 8670, 9226, 12409, 8118, 8174, 8572, 8118, 8205, 10669, 117, 11679, 8256, 8878, 11782, 9777, 8977, 8118, 119, 100, 9226, 12409, 8118, 143, 11333, 8205, 12264, 11424, 8118, 117, 8670, 100, 100, 100, 8228, 100, 117, 100, 8228, 8174, 100, 100, 117, 8174, 8644, 9479, 8221, 10976, 9339, 8575, 8221, 8876, 8755, 11239, 8180, 13158, 12311, 8196, 8228, 13048, 8205, 8174, 8572, 100, 161, 11344, 12010, 118, 11460, 8171, 9205, 8640, 11065, 8636, 11199, 8256, 100, 100, 161, 11344, 11308, 8755, 8154, 12619, 10983, 8205, 12901, 8118, 167, 8418, 131, 100, 118, 8759, 8572, 9245, 9876, 8179, 12320, 9725, 9537, 8608, 9664, 8224, 117, 100, 100, 100, 8256, 8376, 11202, 10326, 117, 100, 100, 100, 8256, 10355, 8169, 11233, 8165, 117, 100, 100, 100, 9734, 117, 100, 100, 100, 100, 8256, 9057, 8750, 117, 100, 100, 100, 118, 11502, 8220, 11366, 8180, 117, 100, 100, 8429, 118, 8281, 118, 8429, 11485, 8984, 8606, 9652, 8663, 100, 100, 12710, 10461, 10481, 9778, 9182, 8519, 11149, 8221, 8969, 117, 9714, 8370, 8205, 8174, 10883, 8206, 9656, 11867, 11172, 8333, 9577, 12569, 9132, 8174, 8977, 11541, 8204, 12238, 100, 161, 8582, 8118, 8256, 10614, 8755, 8644, 8228, 11262, 117, 8910, 10079, 9755, 162, 9570, 8417, 8243, 10091, 10701, 9917, 11303, 10444, 8217, 8174, 8977, 10614, 8755, 119, 100, 100, 11691, 11137, 117, 8792, 118, 148, 11477, 8303, 8120, 100, 117, 8174, 12462, 10976, 8310, 9577, 8619, 8722, 8303, 8228, 8523, 8281, 100, 100, 8256, 100, 100, 8515, 8457, 8554, 9299, 119, 100, 100, 100, 11385, 8118, 10656, 8228, 10656, 8663, 10380, 118, 8759, 8572, 9245, 9876, 8179, 12320, 9725, 9537, 8608, 9664, 8224, 117, 100, 100, 117, 8243, 10163, 11476, 9553, 8221, 149, 12267, 8217, 100, 100, 119, 100, 8174, 10017, 11582, 9133, 8205, 100, 100, 161, 8533, 9725, 8663, 100, 9553, 8196, 100, 100, 117, 100, 9577, 12569, 9132, 8118, 10163, 11541, 8860, 9685, 117, 9738, 118, 10017, 8118, 8256, 10163, 10669, 8221, 11303, 9007, 8786, 9652, 117, 8975, 12010, 8975, 9716, 11652, 8221, 8759, 8228, 10916, 9856, 8217, 8174, 100, 11696, 8383, 8299, 8217, 165, 8963, 8370, 100, 9947, 12619, 9651, 8168, 119, 100, 100, 100, 8174, 100, 11007, 11756, 11445, 8205, 100, 100, 117, 100, 8450, 12198, 100, 100, 10355, 8372, 8256, 9577, 118, 100, 100, 100, 12619, 11413, 100, 100, 119, 100, 11108, 8916, 100, 9053, 149, 10570, 8221, 8644, 8217, 100, 117, 8910, 10079, 9755, 9909, 118, 12323, 8663, 8174, 8559, 11809, 8154, 117, 10163, 162, 10477, 12618, 8410, 8670, 9057, 8228, 10355, 8221, 117, 8256, 8562, 8120, 8174, 11007, 8663, 10163, 9124, 8957, 8256, 12981, 119, 100, 100, 100, 9819, 8118, 8228, 100, 100, 100, 8228, 10843, 8519, 12609, 8174, 12573, 8205, 8429, 8205, 100, 112, 161, 11344, 8559, 11208, 8169, 102]","announces six names that meet multi award - winning journalist and broadcaster for the second series of, including cultural icons and industry trailblazers from across the worlds of sport, entertainment and global affairs. across a number of locations, from to, to the, the upcoming series will bring viewers closer than ever to some of the world s most well - known personalities and s most diverse range of guests yet : - time world heavyweight champion, and producer, and activist, icon, and musician, - songwriter, one - on - one conversations with signature immersive filming style, each of the six documentaries explore their subject s lives and careers up to today, including those at pivotal moments in their careers. productions, co - founded by, the second series is expected to air on and later this year. comes face to face with two - time world heavyweight champion,, at his local boxing gym in. the backdrop of s fight with boxer, explores his success, set - backs and his sporting motivations, as well as spending time together in the estate in which was raised. the seaside town of, meets actor and ex - rapper. tells about growing up in, including run - ins with the police, his transition from music to acting, and life by the sea with his partner and children. travels to to delve into the mind of one of's most polari",female
"Title: Strictly Come Dancing 2023 Judges celebrate series 21 and explain why ""sending somebody home is never easy""","L-R: Craig Revel Horwood, Shirley Ballas, Motsi Mabuse and Anton du Beke (Image: BBC/Ray Burmiston)

Saturday nights are even more fab-u-lous thanks to the 21st series of the multi-award-winning Strictly Come Dancing on BBC One and BBC iPlayer, once again bringing plenty of glitz and glamour to homes across the nation. As the Judges return to put our celebrity contestants to the test, we caught up with Shirley Ballas, Anton Du Beke, Motsi Mabuse and Craig Revel Horwood to find out about what they were up to in their 21st year, their go-to dance songs at parties and weddings, and what they're most looking forward to from Strictly 2023. Strictly Come Dancing goes live from Saturday 23 September at 6.15pm on BBC One and BBC iPlayer SH3 Shirley Ballas

Strictly is back for its 21st series! How does it feel to return to the judging panel for such a monumental series? I’m super excited to return to the panel, it’s going to be one superb series. I feel so lucky to get a front row seat in the ballroom, it is a real privilege. I cannot wait to nurture and guide our new celebrities to help them become the best dancers they can be. We've asked all the Pro’s what they were doing when they were 21, what were you doing when you were 21? And what was life like for you? When I was 21 I was married to my dance partner. We were aiming to be world champions and we were dancing professionally and lecturing all over the world. Every year there is so much excitement when Strictly comes back on our screens, what keeps audiences coming back for more? I think the injection of glitz and glamour lightens up audiences' living rooms. I think viewers love to follow the journey of our celebrities throughout their time on the show and they enjoy having their own opinions and thoughts on the dances. What is the biggest joy from your job as a Strictly judge, and the biggest challenge? The biggest joy is being a small part in the nations favourite show and sharing my knowledge and passion for dance. The biggest challenge is when I hear Anton vote differently to Craig and Motsi in the dance off and then the final say is down to me. It’s so heartbreaking having to send anyone home. If you could only dance one kind of dance style for the rest of your life what would it be and why? I think it has to be the Rumba, as it’s the dance of love. It's fast, slow, sharp and soft – it’s got everything in there and it’s such a passionate dance. Do you have one stand-out dance and/or celebrity dancer from last year’s Strictly Come Dancing? It has got to be Hamza’s Salsa, what a surprise! The way he was flipping and throwing Jowita around like there’s no tomorrow, it was so impressive. I think that moment will go down in Strictly history. If you could only pick one favourite performance from all your series so far, what would it be, and why? I think it would have to be Kelvin Fletcher’s Samba with Oti in Week One in 2019. I really don’t know how it could be topped! He has this big smile on his face and his bright blue shirt. It was absolutely outstanding and also technically astonishing – definitely one to remember. Strictly returned to Blackpool last year, after some time away, how was that, and does it make you excited to return this year? It was amazing to return to Blackpool, the ballroom there is an iconic venue that holds a very special place in my heart. Being in Blackpool takes everything to a whole new level, it’s the home of ballroom dancing and the walls are steeped in history. We have 19 brilliant Pro’s for this series, how would you sum up their contribution towards the show making it what it is? It’s really simple, we wouldn’t have a show without the marvellous professional dancers. They put their all into it and work so hard to bring out the best in their celebrity partners. They dedicate so much of their craft to the show and it pays off each and every series when we see the level of dancing improve. They are such a joy to watch. Is there a song that will never fail to get you on the dancefloor at parties or weddings? It has to be I'm Still Standing by Elton John. I just can’t resist a Jive when I hear that song! Finally is there anything you are particularly excited for this series? To be back with my beautiful Judges and for all the laughs and smiles. I’m also really looking forward to fangirling over Angela Rippon! She announced me during the UK championships many times during my competitive career so her voice brings back so many fond memories. Anton Du Beke

Strictly is back for its 21st series! How does it feel to return to the judging panel for such a monumental series? I tell you what, I am naturally, brilliantly excited about the whole thing, I can't wait. For me it's just a magical time of year when Strictly returns to our screens. It always starts in the summer and goes into the autumn and winter. It's just brilliant. The excitement about Strictly Come Dancing coming back with all the celebrities and just being in the building with everybody milling around, delighted and happy and joyous and all the brilliant teams back together. It's so wonderfully exciting. We’ve asked all the Pro’s what they were doing when they were 21 What were you doing when you were 21? I would have been dancing, competing, practising and flying about trying to get better, that was my life really. I have literally been dancing every day of my life and also at 21, I think I was working in a bakery. I would have started work at the bakery at three o'clock in the morning, and then dancing at night and competing at weekends. Baker by day, dancer by night! There's so much excitement when Strictly comes back. What do you think keeps audiences coming back from? It's so multi layered and, I don't want to repeat myself too much, but it is just brilliant because there's so much about it you can love. Firstly, it's the best of the best, there is so much on the show you can enjoy. Obviously you will want to know who the celebrities are, some you'll know and some you won't know as well, and audiences will get a favourite immediately so that's always exciting in the first show. The music's amazing, the Judges are brilliant, Tess and Claudia are incredible, the frocks are fantastic, then you have all of sets and the lighting! The show is so multi-generational as well. What is the biggest joy from your job as a Strictly Judging and what's the biggest challenge? The biggest joy is being part of it and turning up every week. It's a real surprise and a fortune that I've been a part of the show since the beginning, and there’s only Craig, Tess and I left from the very first series and to have been part of a show that is part of the fabric of British consciousness – and the world’s, it’s such a global show - is sort of overwhelming, if I think about it too deeply it blows my mind. To be a part of that since the beginning, I feel massive pride. I love it now as much as I did then and I'm delighted about that as well. What is the biggest joy from your job as a Strictly judge, and the biggest challenge? The biggest challenge is eliminating somebody and sometimes it’s tighter than you'd want it to be, but that's the job and that's what I’m there for, so that is the most challenging part. Trying to be encouraging, trying to help people - that's the fun part. If you could only dance one kind of dance style for the rest of your life, what would it be and why? Probably a ballroom dance of some sort I’d imagine, taking a lady into my arms and dancing together. However, if I could do one thing more now, I’d like to become a better tap dancer because I don’t tap as well as I’d like, and I’d like that skill. Do you have one standout dance or celebrity dancer from last year’s Strictly? Helen and Gorka’s couples choice dance to Mein Herr and Hamza did some numbers that were staggering, but for pure dancing and precision Helen’s was the standout moment from last year for me. Strictly returned to Blackpool last year after some time away, how was it, and does it make you excited to return this year? Oh wasn't it brilliant?! It's such a massive production and we all go up to Blackpool and then rig it all up and it takes ten days, I mean it’s a huge thing, but it's so worth it! It's a wonderful moment in the series as well, but it means so much more than just going to Blackpool, we're going for the tower ballroom which is such an iconic venue. We’ve got 19 brilliant Pro’s this series, how would you sum up their contribution in making the show what it is? Oh epic, the Pro’s make it what it is, I've always felt this really. They're the ones to put the content for the show on the floor, they perform the group dances, they choreograph their celebrity routines, and they work with the celebrities to get the best out of them. The Pro’s are extraordinary talents and remarkable performers. Is there a song that will never fail to get you on the dance floor at weddings and parties? Dancing Queen by ABBA. Finally, is there anything you're particularly excited about for this series of Strictly Come Dancing? Just all of the above, although I am really excited about the Judges number at the beginning. What I would love to do one year, is to do a dance with one of the professionals for one of the artist numbers like I used to. There’s nothing quite like performing, it’s magical, the thing about dancing with a celebrity is you get voted off, and that’s the bit I hated! Motsi Mabuse

Strictly is back for its 21st series! How does it feel to return to the judging panel for such a monumental series? It feels amazing, and I'm super excited to meet everyone and to see how this season will develop. We've asked all the Pro’s what they were doing when they were 21, what were you doing when you were 21? And what was life like for you? I had been in Europe for three years and was dancing, minding my own business. Just dancing, my life was dancing. I was dancing in Germany and preparing for a championship. Nothing else, eat, dance and sleep, that’s it. Every year there's so much excitement when Strictly comes back on our screens. What keeps audiences coming back for more? The audiences love the dances and they love the show, it's a beautiful, emotional show, full of glitz and glamour and we all get to share it together. It's just such a special time of the year when Strictly starts. What's the biggest joy from your job as a Strictly Judge and what's the biggest challenge? The biggest joy is being part of such a professional and wonderful team that is huge and everybody's giving 110% and that that to me is quite inspiring. I think the biggest challenge for me is always the dance off because I bond with all the contestants and sending somebody home is never easy. If you could only dance one kind of dance style for the rest of your life, what would it be and why? Probably the Rumba because that means I get to dance with my husband all my life. Do you have one standout dance and or celebrity dancer from last years’ Strictly? I think the Salsa from Hamza and Jowita will remain unforgettable. If you could only pick one favourite performance from all your series so far, what would it be? It would be the week one Samba from Kelvin and Oti because he wasn't meant to be on the show. Jamie Laing had broken his leg and then Oti got Kelvin and no one could have planned anything like that, and he comes on the floor and they just burned the floor. It was absolutely amazing! Strictly returned to Blackpool last year after some time away, how was that and does it make you excited to return this year? It was fantastic being back in Blackpool because I also felt like everybody had their game on and I just can't wait to be back in in the tower ballroom for this new series. We have 19 brilliant Pro’s for this series, how would you sum up their contribution towards making the show what it is? Well, the show wouldn't be what it is without the Pro dancers, it's quite simple. It wouldn't be what it is without the dancers. They're such a big part of the show, they are the other half of a couple, so they are very, very important. Is there a song that will never fail to get you on the dance floor at parties or weddings? You Are The First, The Last, My Everything by Barry White And finally, is there anything you're particularly excited about for this series? I'm particularly excited about all the stories we're going to hear, I believe in the power of personality, there are brand new celebrities so I just want to see their personalities on the floor. Craig Revel Horwood

Strictly is back for its 21st series! How does it feel to return to the judging panel for such a monumental series? It’s like coming home for me. Every year, for the last 20 years, I have been coming home to Strictly and this is no different. I think even better because the line-up for this series is absolutely phenomenal. We have asked all the pros what they were doing when they were 21. What were you doing when you were 21? I had my 21st birthday in my hometown of Ballarat, Australia as I hired a bus to take the cast of Me and My Girl, a show I was in at the time there, and had a fantastic time. I remember my 21st so well, because it was just incredible set in a haystack and very Australian and very non-theatrical even though it was full of lots of theatre people. It was a blazing hot day as well and everyone got burned, 21 was a great year for me in the theatre. Every year, there's so much excitement when strictly comes back. What keeps audiences coming back for more? I think it's a programme that they can rely on. They know it's the lead up to Christmas and it's something they know, something they love and it's something they feel a part of. I think it embraces everybody and it has won the hearts and minds of not only this nation but so many. So there's something going right with it. I think it makes you feel like a part of the community which I think is great. What is the biggest joy you take from your job and what's the biggest challenge? The biggest joy I take from my job is getting front row seats to the best dance show in the world and the biggest challenge I think for me is making the right decisions when we're letting someone go. I think that's the hardest thing for me in the job. If you could only dance one kind of dance style the rest of your life, what would it be and why? A Charleston because that's my speciality, and it's completely different. It's such hard work and will keep me thin for the rest of my life. Anyone can do it and it doesn't matter how old you are, you can still get a bit of swivel in there! Do you have one standout dance or celebrity dancer from last year Strictly? I loved Fleur in Blackpool, she was amazing, this is when Fleur came into her own, I just loved it. She was right at home and rocking it and I got out my 10 paddle for the first time, which was great. If you could only pick one favourite performance for all your series what would it be? I think Anton Du Beke dancing with Ann Widdecombe, where he did the aeroplane move I just went ‘I cannot believe this is actually happening in front of my very eyes’ and that will stay with me until my death for all the wrong reasons, but every reason that that tells you what Strictly it's about. I think one of the best dances I've seen was Rose and Giovanni, I thought that was just amazing. Strictly returned to Blackpool last year after some time away, how was that? Does it make you excited to return this year? Yes, I really loved Blackpool! I filmed a couple of programmes up there over the summer and it was absolutely fantastic because I never get to go there in the summer. The audiences are great and the venue is bigger and I think that's exciting. And of course it has that wonderful sprung floor, so it's always great. We have 19 brilliant Pro’s the series, how would you sum up their contribution towards making the show what it is? Well, they really make the show. They are the teachers, they're the nurturers, they're the embracers, they're the ones that pick up the pieces after the Judges have judged them, they have to be all sorts of different things apart from just teachers, and they also have to be there to support, so they work really, really hard. They're the first ones in the last ones out and they're just amazing. Is there one song that will never fail to get you on the dance floor at parties or wedding? I Will Survive by Gloria Gaynor. It's disco, It’s my era darling and love it. Finally, is there anything you're particularly excited about? This series, I'm really looking forward to see all the group numbers because I love those and I never get to see those until the day. Normally, I get to see them rehearse and all of that but that's what I look forward to the most.","[101, 100, 118, 100, 131, 100, 100, 100, 117, 100, 100, 117, 100, 100, 8256, 100, 10173, 100, 113, 100, 131, 100, 120, 100, 100, 114, 100, 10036, 8118, 8995, 12311, 8329, 8384, 12289, 8204, 118, 163, 118, 12264, 8293, 13158, 9457, 8228, 8174, 8128, 8415, 10976, 8205, 8174, 13149, 118, 11796, 118, 9769, 9535, 100, 100, 100, 8281, 100, 100, 8256, 100, 100, 117, 8281, 8328, 12830, 8575, 8221, 8221, 158, 12974, 8179, 8205, 9101, 12970, 8256, 9101, 8608, 9832, 8228, 8563, 8118, 9226, 12409, 8118, 8174, 11469, 8361, 119, 100, 8174, 100, 12330, 8228, 11227, 8165, 11052, 10399, 8268, 8204, 12079, 11485, 11574, 9834, 8118, 8228, 8174, 10060, 117, 8997, 8850, 12667, 8165, 8644, 8663, 100, 100, 117, 100, 100, 100, 117, 100, 100, 8256, 100, 100, 100, 8228, 11707, 8883, 9053, 9100, 12013, 8997, 8358, 8644, 8228, 8217, 8174, 8977, 8128, 8415, 9299, 117, 8174, 8977, 8373, 118, 8228, 12371, 11502, 8118, 8243, 9124, 8773, 8256, 10826, 8118, 117, 8256, 9100, 12013, 112, 8847, 11344, 9544, 8221, 8330, 11612, 8228, 8670, 100, 9707, 8152, 119, 100, 100, 100, 8373, 8333, 8582, 8670, 100, 8133, 100, 8243, 127, 119, 8115, 9280, 8281, 100, 100, 8256, 100, 100, 100, 100, 100, 100, 8310, 10017, 8330, 12894, 8128, 8415, 10976, 106, 100, 8895, 8333, 8233, 11297, 8228, 12330, 8228, 8174, 152, 9849, 12374, 11641, 8472, 8330, 11541, 8370, 143, 8556, 11867, 8315, 10976, 136, 100, 100, 155, 8988, 9577, 9702, 9255, 8228, 12330, 8228, 8174, 11641, 8472, 117, 8233, 100, 161, 8373, 8221, 8228, 8815, 8429, 8988, 8204, 10976, 119, 100, 11297, 8968, 12659, 8228, 9018, 143, 148, 8991, 8165, 12910, 8220, 11007, 8165, 8217, 8174, 10136, 12193, 117, 8233, 8310, 143, 10153, 9470, 8169, 9197, 8268, 8441, 119, 100, 9109, 8609, 8165, 165, 8982, 8165, 8228, 12797, 8716, 8813, 8256, 11724, 11052, 8343, 10399, 8268, 8204, 8641, 11199, 8228, 10892, 8174, 8175, 8815, 12097, 8174, 9186, 12371, 8640, 12013, 9109, 8815, 119, 100, 112, 12810, 8975, 8537, 8168, 8513, 8174, 100, 100, 161, 9100, 12013, 8997, 8358, 9962, 8291, 11611, 12013, 8997, 8358, 8128, 117, 9100, 8997, 8358, 8357, 9962, 8291, 11611, 8357, 8997, 8358, 8128, 136, 100, 9100, 9947, 8562, 8993, 8330, 8357, 136, 100, 100, 9947, 8128, 100, 9947, 9118, 11062, 8168, 8228, 8422, 12371, 9124, 8957, 119, 100, 8997, 8358, 8578, 10693, 8228, 8815, 8572, 9537, 8608, 9664, 9961, 8256, 8997, 8997, 8358, 11404, 11540, 8376, 9568, 12726, 10050, 8179, 8256, 8983, 8722, 8685, 8221, 8513, 10047, 8174, 8572, 119, 100, 9299, 11136, 8310, 8968, 11677, 8370, 9577, 9702, 8299, 8631, 11611, 100, 11385, 8118, 10017, 8281, 11052, 11515, 10902, 8118, 117, 9100, 11654, 8118, 9976, 10504, 8118, 8134, 8221, 10017, 8330, 8384, 136, 100, 12553, 8174, 8217, 12238, 8410, 8205, 9101, 12970, 8256, 9101, 8608, 9832, 10310, 11550, 8644, 9976, 10504, 8118, 112, 12113, 10083, 8118, 119, 100, 12553, 8876, 8755, 8451, 8228, 10792, 8174, 13269, 12760, 8603, 8205, 11052, 10399, 8268, 8204, 8641, 11199, 162, 10561, 11600, 9408, 8174, 8977, 8759, 8281, 8174, 8658, 8256, 12013, 9447, 10284, 11643, 10369, 8174, 8977, 157, 10799, 10208, 102]","- :,, and du ( : / ) nights are even more fab - u - lous thanks to the 21st series of the multi - award - winning on and, once again bringing plenty of glitz and glamour to homes across the nation. the return to put our celebrity contestants to the test, we caught up with,, and to find out about what they were up to in their 21st year, their go - to dance songs at parties and weddings, and what they're most looking forward to from 2023. goes live from 23 at 6. 15pm on and is back for its 21st series! does it feel to return to the judging panel for such a monumental series? m super excited to return to the panel, it s going to be one superb series. feel so lucky to get a front row seat in the ballroom, it is a real privilege. cannot wait to nurture and guide our new celebrities to help them become the best dancers they can be.'ve asked all the s what they were doing when they were 21, what were you doing when you were 21? what was life like for you? was 21 was married to my dance partner. were aiming to be world champions and we were dancing professionally and lecturing all over the world. year there is so much excitement when comes back on our screens, what keeps audiences coming back for more? think the injection of glitz and glamour lightens up audiences'living rooms. think viewers love to follow the journey of our celebrities throughout their time on the show and they enjoy having their own op",female
