Sr No,Headline,Complete Article
1,Athlete set to become the first Manx professional female boxer,A Commonwealth Games athlete is set to become the Isle of Man's first professional female boxer.
2,CTE: Brain disease diagnosed in female athlete for first time,"Jade Burden's bid for a licence has been approved by the British Boxing Board of Control, subject to a medical."
